"","id","Ideology","A","Gender","Age","M1","M2","M3","M4","M5","M6","Y"
"1",1,-0.5,0,1,20,1,0.555555555555556,0.333333333333333,0.944444444444444,0.666666666666667,0.7,0.272222222222222
"2",2,-0.5,0,1,18,0.944444444444444,0.611111111111111,0.555555555555556,0.944444444444444,0.333333333333333,0.75,0.462222222222222
"3",4,-0.5,1,1,18,0.777777777777778,0.5,0.0555555555555556,1,0.833333333333333,0.5,0.444444444444444
"4",5,-1.5,0,1,27,0.722222222222222,0.333333333333333,0.333333333333333,0.666666666666667,1,0.065,0.946666666666667
"5",6,-1.5,0,0,19,0.833333333333333,0.388888888888889,0.5,0.888888888888889,1,0.12,0.821111111111111
"6",7,-0.5,0,0,25,0.388888888888889,0.444444444444444,0.388888888888889,0.777777777777778,0.666666666666667,0.455,0.388888888888889
"7",10,-0.5,1,1,19,0.944444444444444,0.611111111111111,0.333333333333333,1,0.166666666666667,0.86,0.178888888888889
"8",11,-0.5,1,0,20,0.666666666666667,0.333333333333333,0.222222222222222,0.777777777777778,0.666666666666667,0.68,0.407777777777778
"9",12,0.5,0,0,19,0.833333333333333,0.5,0.388888888888889,0.777777777777778,0.166666666666667,0.75,0.377777777777778
"10",13,0.5,0,0,18,0.833333333333333,0.611111111111111,0.111111111111111,0.833333333333333,0.833333333333333,0.6,0.372222222222222
"11",16,-0.5,1,1,18,0.777777777777778,0.611111111111111,0.333333333333333,0.777777777777778,0.333333333333333,0.67,0.233333333333333
"12",17,-2.5,1,0,21,0.888888888888889,0.722222222222222,0.166666666666667,1,0.833333333333333,0.575,0.133333333333333
"13",18,-0.5,1,1,19,0.444444444444444,0.333333333333333,0.388888888888889,0.555555555555556,0.833333333333333,0.47,0.53
"14",20,0.5,0,1,19,0.388888888888889,0.388888888888889,0.5,0.333333333333333,0.666666666666667,0.425,0.444444444444444
"15",21,-0.5,0,1,20,0.444444444444444,0.388888888888889,0.5,0.444444444444444,0.666666666666667,0.4,0.514444444444444
"16",22,-0.5,1,1,20,0.611111111111111,0.444444444444444,0.222222222222222,0.833333333333333,0.166666666666667,0.8,0.122222222222222
"17",23,0.5,0,0,18,0.777777777777778,0.777777777777778,0.388888888888889,0.555555555555556,0.666666666666667,0.615,0.325555555555556
"18",24,-0.5,1,0,18,0.666666666666667,0.555555555555556,0.555555555555556,0.555555555555556,0.166666666666667,0.855,0.186666666666667
"19",25,-0.5,0,1,18,0.555555555555556,0.444444444444444,0.333333333333333,0.666666666666667,0.833333333333333,0.3,0.622222222222222
"20",28,-1.5,0,1,19,0.944444444444444,0.611111111111111,0.611111111111111,1,0.833333333333333,0.07,0.774444444444444
"21",29,-0.5,1,1,20,0.388888888888889,0.5,0.333333333333333,0.5,0.666666666666667,0.465,0.572222222222222
"22",30,-0.5,1,1,18,1,0.777777777777778,0.277777777777778,1,0.5,0.72,0.176666666666667
"23",33,-0.5,1,1,18,0.777777777777778,0.666666666666667,0.111111111111111,1,0.333333333333333,0.605,0.278888888888889
"24",35,-0.5,0,1,19,0.388888888888889,0.166666666666667,0.111111111111111,0.444444444444444,0.333333333333333,0.43,0.605555555555556
"25",36,-0.5,0,1,27,1,0.333333333333333,0.166666666666667,1,0.333333333333333,0.665,0.307777777777778
"26",37,-1.5,0,0,21,1,0.722222222222222,0.333333333333333,1,0.833333333333333,0.375,0.722222222222222
"27",39,-0.5,1,1,27,0.444444444444444,0.388888888888889,0.222222222222222,0.388888888888889,0.666666666666667,0.475,0.441111111111111
"28",40,0.5,0,1,18,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.785,0.174444444444444
"29",41,-0.5,1,1,22,0.666666666666667,0.5,0.111111111111111,0.833333333333333,0.666666666666667,0.51,0.43
